,Population that can work from home,Total working population,Work from home populuation ratio,Population commutes using transit,All working population,Transit commuting population ratio,google_trend,# Unique users,# Total posts,pop,social_rate,car_pop,all_pop,car_ratio,average_commute_time,p55,p65,p75,p85,total_pop,pp55,pp65,pp75,pp85,net_post_per_capita,unique_users,total_post,positive_post,neutral_post,negative_post,balance,all_post_per_capital,positive_post_rate,neutral_post_rate,negative_post_rate,all_house,vehicle0_house,vehicle0_house_rate,vehicle1_house,vehicle2_house,vehicle3_house,vehicle4_house,black_pop,hispanic_pop,total_race_pop,black_ratio,hispanic_ratio,female_pop,total_sex_pop,female_ratio,white_pop,asian_pop,nonwhas_pop,nonwhite_ratio,B,negative_B
 AC Transit ,502525,847170,0.593180826,116644,767292,0.152020352,33,33,39,1643700,2.00767E-05,547295,767292,0.713281254,33,415473,89097,89097,28149,1643700,0.252766928,0.054205147,0.054205147,0.017125388,-2.43353E-06,33,39,11,13,15,-4,1.43361E-05,6.69222E-06,7.90899E-06,9.12575E-06,572870,54816,0.09568663,182927,207627,84396,30510,177135,369061,1643700,0.107766016,0.224530632,836529,1643700,0.508930462,681725,486434,0.28931131,0.585249741,-0.830179952,0.830179952
 ART ,2390559,4869658,0.490909013,294952,4749180,0.062105879,38,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,2478262,564884,564884,180184,10098052,0.24541981,0.055939898,0.055939898,0.017843441,-2.52524E-05,1937,3955,1302,1096,1557,-255,0.000274153,0.000128936,0.000108536,0.000154188,3306109,298364,0.090246268,1121855,1167265,462324,175081,823987,4893603,10098052,0.081598609,0.484608616,5121264,10098052,0.507153657,5186859,1469968,0.340781073,0.486350536,-0.662753205,0.662753205
 Beach Cities Transit ,2390559,4869658,0.490909013,294952,4749180,0.062105879,38,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,2478262,564884,564884,180184,10098052,0.24541981,0.055939898,0.055939898,0.017843441,-2.52524E-05,1937,3955,1302,1096,1557,-255,0.000274153,0.000128936,0.000108536,0.000154188,3306109,298364,0.090246268,1121855,1167265,462324,175081,823987,4893603,10098052,0.081598609,0.484608616,5121264,10098052,0.507153657,5186859,1469968,0.340781073,0.486350536,-0.764783996,0.764783996
 Bee-Line ,276626,479775,0.576574436,109470,468771,0.233525538,36,117,284,968815,0.000120766,307592,468771,0.65616687,35,288165,74383,74383,26065,968815,0.297440688,0.0767773,0.0767773,0.026904001,-7.1221E-05,117,284,75,65,144,-69,0.000159993,7.74142E-05,6.70923E-05,0.000148635,347332,50391,0.145080211,123088,117770,39877,12086,142443,235243,968815,0.14702807,0.242815192,499917,968815,0.516008732,630592,57410,0.289852036,0.349109995,-0.641591512,0.641591512
 Big Blue Bus ,2390559,4869658,0.490909013,294952,4749180,0.062105879,38,1937,3955,10098052,0.000191819,3963851,4749180,0.834639032,31,2478262,564884,564884,180184,10098052,0.24541981,0.055939898,0.055939898,0.017843441,-2.52524E-05,1937,3955,1302,1096,1557,-255,0.000274153,0.000128936,0.000108536,0.000154188,3306109,298364,0.090246268,1121855,1167265,462324,175081,823987,4893603,10098052,0.081598609,0.484608616,5121264,10098052,0.507153657,5186859,1469968,0.340781073,0.486350536,-0.776411319,0.776411319
 Brockton Area Transit ,247070,429529,0.575211453,139478,421256,0.331100329,52,262,443,791766,0.000330906,199757,421256,0.474193839,31,172274,39448,39448,12268,791766,0.217581962,0.049822801,0.049822801,0.015494477,-2.3997E-05,262,443,148,128,167,-19,0.00035133,0.000186924,0.000161664,0.000210921,307870,99703,0.323847728,131285,60596,12858,2512,177748,179702,791766,0.224495621,0.226963522,408936,791766,0.516485931,437431,69435,0.359828535,0.4475249,-0.751676717,0.751676717
 Broward County Transit ,587519,1301540,0.451402953,68596,1280128,0.053585266,37,443,829,2715516,0.000163137,1096674,1280128,0.856690893,32,749998,197088,197088,61497,2715516,0.276189866,0.072578471,0.072578471,0.022646525,-3.49841E-05,443,829,211,312,306,-95,0.000164827,7.77016E-05,0.000114895,0.000112686,870051,90236,0.10371346,339061,304373,98155,30147,481976,1845646,2715516,0.177489656,0.679666774,1396889,2715516,0.514410153,2041796,43289,0.232158824,0.248100177,-0.511190249,0.511190249
 Capital Metro ,6159,13801,0.446272009,9,13594,0.000662057,41,5,7,29565,0.000169119,12637,13594,0.929601295,30,9699,2151,2151,619,29565,0.328056824,0.072754947,0.072754947,0.020936919,-0.000101471,5,7,2,0,5,-3,0.000147124,6.76476E-05,0,0.000169119,11041,490,0.044380038,2868,4370,2273,853,2626,7819,29565,0.088821241,0.264468121,14881,29565,0.503331642,23810,89,0.191645527,0.194655843,-0.717160346,0.717160346
 Capitol Corridor ,356357,686019,0.519456458,17800,671083,0.02652429,33,64,77,1510023,4.23835E-05,587410,671083,0.875316466,27,385144,84299,84299,26680,1510023,0.255058367,0.055826302,0.055826302,0.017668605,-2.64897E-06,64,77,20,33,24,-4,2.98026E-05,1.32448E-05,2.1854E-05,1.58938E-05,536029,37651,0.070240603,180603,201667,78096,27386,149064,347025,1510023,0.098716377,0.22981438,772281,1510023,0.511436581,875793,235474,0.264072799,0.42001347,-0.804206225,0.804206225
 CARTA ,104549,200094,0.522499425,2818,198964,0.014163366,49,7,7,394708,1.77346E-05,172011,198964,0.864533282,24,112414,23013,23013,7367,394708,0.284802943,0.05830386,0.05830386,0.01866443,-1.01341E-05,7,7,0,3,4,-4,0,0,7.60056E-06,1.01341E-05,156482,10621,0.067873621,57953,62336,19563,4382,107789,19944,394708,0.27308542,0.050528492,203517,394708,0.515614074,269342,5621,0.303376167,0.317617074,-0.638833218,0.638833218
