B,L_corona,_id,b,convergent_point,country,county,county_FIPS,divergent_point,k,k_corona,l_corona,lat,lon,metro_area,modified_at,modified_at_corona,name,state,state_FIPS,t0,t0_corona,,a,k_corona
-0.830179952,5.029246044,5e88da2b7e859234c8cba942,-0.026427331,36.34719915,US,Alameda,6001,17.31045125,0.384893645,0.151538148,-3.228778999,37.77,-122.27,SF Bay Area,20200404,20200404,AC Transit,California,6,26.8288252,41,,-5.310451253,0.151538148
-0.662753205,0.004698436,5e88da2b7e859234c8cba943,0.005243399,34.077412,US,Los Angeles,6037,21.02337017,0.561291544,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200404,20200404,ART,California,6,27.55039109,4,,-46.02337017,0.206207706
-0.847552057,,5e88da2b7e859234c8cba944,-0.016615324,37.3242671,US,"Alameda, Contra Costa, San Francisco, San Mateo",,15.38777559,0.334015277,,,,,SF Bay Area,20200404,,BART,California,,26.35602134,,,-44.38777559,
-0.764783996,0.004698436,5e88da2b7e859234c8cba945,0.035119869,38.33053464,US,Los Angeles,6037,17.74673078,0.355965464,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200404,20200404,Beach Cities Transit,California,6,28.03863271,4,,-42.74673078,0.206207706
-0.641591512,111.1059422,5e88da2b7e859234c8cba946,-0.006256755,37.50125949,US,Westchester,36119,19.28451308,0.402219097,0.165564797,-104.3423958,41.29,-73.76,NYC,20200404,20200404,Bee-Line,New York,36,28.39288629,41,,-7.284513083,0.165564797
-0.776411319,0.004698436,5e88da2b7e859234c8cba947,0.014055207,35.9590591,US,Los Angeles,6037,18.74188629,0.425570642,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200404,20200404,Big Blue Bus,California,6,27.35047269,4,,-43.74188629,0.206207706
-0.751676717,0.001790253,5e88da2b7e859234c8cba948,0.030234656,40.35249532,US,Suffolk,25025,21.15438643,0.381658596,0.230383587,-2.214491828,42.35,-71.06,Boston,20200404,20200404,Brockton Area Transit,Massachusetts,25,30.75344088,10,,-40.15438643,0.230383587
-0.511190249,22.75100641,5e88da2b7e859234c8cba949,0.00073398,37.53539494,US,Miami-Dade,12086,21.52911651,0.457765578,0.240541639,-5.879839498,25.86,-80.29,Miami,20200404,20200404,Broward County Transit,Florida,12,29.53225572,50,,-0.529116513,0.240541639
-0.751253642,,5e88da2b7e859234c8cba94a,-0.014896163,35.46595567,US,"San Francisco, San Mateo, Santa Clara",,16.04795482,0.377336645,,,,,SF Bay Area,20200404,,Caltrain,California,,25.75695524,,,-45.04795482,
-0.717160346,0.761877332,5e88da2b7e859234c8cba94b,-0.008737738,36.33254188,US,Austin,48015,20.98995439,0.47756764,0.204295198,-0.029240938,29.94,-96.25,Austin,20200404,20200404,Capital Metro,Texas,48,28.66124814,63,,13.01004561,0.204295198
-0.804206225,1.211954283,5e88da2b7e859234c8cba94c,0.002814387,35.80393697,US,Sacramento,6067,16.03676843,0.370671362,0.135540777,-1.198208523,38.58,-121.49,SF Bay Area,20200404,20200404,Capitol Corridor,California,6,25.9203527,30,,-15.03676843,0.135540777
-0.638833218,1.159198039,5e88da2b7e859234c8cba94d,-0.021254165,40.77130295,US,Charleston,45019,21.83621282,0.386960043,0.19690103,-1.140291551,32.78,-79.99,Charleston,20200404,20200404,CARTA,South Carolina,45,31.30375789,44,,-6.836212823,0.19690103
-0.797251823,28.70272024,5e88da2b7e859234c8cba94e,0.013452011,34.13214168,US,Albany,36001,23.34974234,0.67954479,0.118164786,-5.256619756,42.45,-74.03,Albany,20200404,20200404,CDTA,New York,36,28.74094201,50,,-2.349742338,0.118164786
-0.862581831,1.60612184,5e88da2b7e859234c8cba94f,0.031383331,40.41117309,US,King,53033,4.578056043,0.204479094,0.107438571,-37.3739132,47.3,-122.26,Seattle,20200404,20200404,City of Seattle,Washington,53,22.49461457,0,,-33.57805604,0.107438571
-0.847664702,1.60612184,5e88da2b7e859234c8cba950,0.035606639,42.53644463,US,King,53033,3.365227793,0.187053757,0.107438571,-37.3739132,47.3,-122.26,Seattle,20200404,20200404,Community Transit,Washington,53,22.95083621,0,,-32.36522779,0.107438571
-0.59570079,7.964356778,5e88da2b7e859234c8cba951,0.012263558,38.71284388,US,Franklin,39049,18.02364199,0.354152051,0.223265949,-1.889407451,40.07,-83.18,Columbus,20200404,20200404,COTA,Ohio,39,28.36824294,52,,4.976358009,0.223265949
-0.769652429,6.528661921,5e88da2b7e859234c8cba952,-0.015654443,36.10687115,US,Contra Costa,6013,17.08721124,0.385239448,0.13197303,-1.581770403,37.86,-121.64,SF Bay Area,20200404,20200404,County Connection,California,6,26.59704119,42,,-4.087211236,0.13197303
-0.791364579,0.008096452,5e88da2b7e859234c8cba953,-0.014066155,36.5169571,US,Cook,17031,20.36022617,0.453502836,0.198105087,-21.46817151,42.09,-87.98,Chicago,20200404,20200404,CTA,Illinois,17,28.43859163,2,,-47.36022617,0.198105087
