Increase,Ashland,Ashtabula,Belmont,Bulter,Clark,Clermont,Coshocton,Cuyahoga,Drake,Defiance,Delaware,Erie,Franklin,Gallia,Geauga,Hamilton,Huron,Lake,Licking,Lorain,Lucas,Mahoning,Marion,Medina,Miami,Montgomery,Richland,Stack,Summit,Trumbull,Tuscarawas,Union,Warren,
3/6/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3/7/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3/8/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3/9/2020,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3
3/10/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
3/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
3/13/2020,,,2,1,,,,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,8
3/14/2020,,,,3,,,,5,,,,,1,,,,,,,1,,,,,,,,1,1,1,,,,13
3/15/2020,,,,2,,,,3,,,,,2,,,,,,,1,1,,,1,,,,,,,1,,,11
3/16/2020,,,,,,,,10,,,,,,,1,,,,,1,,,,1,,,,,,,,,,13
3/17/2020,,,,,,,2,7,1,,,,2,,,,1,1,,1,,1,,1,,,,,2,,,,,19
3/18/2020,1,,,2,,,,7,,,1,,3,,,,,1,,2,,2,,1,,,,,,,,,,20
3/19/2020,,,,,,,,15,,,1,,3,,,1,,,,,,2,,2,,1,,,2,,,,,27
3/20/2020,,1,,4,1,,,16,,,,,3,,,6,,1,,4,1,2,1,,1,,1,3,4,1,,1,2,53
3/21/2020,,,,4,,2,,23,,2,2,1,7,1,,1,,1,1,4,2,7,,3,10,,,2,5,,,,,78
,1,1,2,16,1,2,2,92,1,2,4,1,21,1,1,8,1,4,1,14,4,14,1,9,11,1,1,8,15,3,1,1,2,247
