Category: All categories,
,
DMA,COVID19: (1/7/20 - 4/7/20)
Alpena MI,100
Glendive MT,77
Juneau AK,64
Cheyenne WY-Scottsbluff NE,62
Honolulu HI,62
Wausau-Rhinelander WI,57
Butte-Bozeman MT,57
Fairbanks AK,56
Bend OR,56
Portland-Auburn ME,56
Rochester MN-Mason City IA-Austin MN,55
Marquette MI,55
Minneapolis-St. Paul MN,54
Grand Junction-Montrose CO,54
Anchorage AK,54
Victoria TX,54
Denver CO,54
Burlington VT-Plattsburgh NY,53
La Crosse-Eau Claire WI,53
Eureka CA,53
Colorado Springs-Pueblo CO,52
Binghamton NY,52
Casper-Riverton WY,52
North Platte NE,52
Seattle-Tacoma WA,51
Portland OR,50
Medford-Klamath Falls OR,50
Eugene OR,50
Lexington KY,50
Traverse City-Cadillac MI,50
Chico-Redding CA,50
Great Falls MT,49
Gainesville FL,49
Alexandria LA,49
Idaho Falls-Pocatello ID,49
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,49
Bangor ME,49
Boston MA-Manchester NH,48
Spokane WA,48
Monterey-Salinas CA,48
Charlottesville VA,48
Santa Barbara-Santa Maria-San Luis Obispo CA,48
Duluth MN-Superior WI,47
Detroit MI,47
San Francisco-Oakland-San Jose CA,47
Des Moines-Ames IA,47
San Diego CA,47
Grand Rapids-Kalamazoo-Battle Creek MI,47
Parkersburg WV,46
Jonesboro AR,46
Lincoln & Hastings-Kearney NE,46
Mankato MN,46
Madison WI,46
Ft. Smith-Fayetteville-Springdale-Rogers AR,46
Springfield-Holyoke MA,46
Salt Lake City UT,45
Quincy IL-Hannibal MO-Keokuk IA,45
Wilmington NC,45
Sioux Falls(Mitchell) SD,45
Dayton OH,45
Nashville TN,45
Green Bay-Appleton WI,45
Sherman TX-Ada OK,44
Johnstown-Altoona PA,44
Topeka KS,44
Charleston-Huntington WV,44
Austin TX,44
Ft. Myers-Naples FL,44
Toledo OH,44
Tri-Cities TN-VA,43
Lansing MI,43
Hartford & New Haven CT,43
Charleston SC,43
Missoula MT,43
Springfield MO,42
Rockford IL,42
Tucson (Sierra Vista) AZ,42
Watertown NY,42
Abilene-Sweetwater TX,42
Chicago IL,42
Boise ID,42
Albuquerque-Santa Fe NM,42
Rapid City SD,42
Sacramento-Stockton-Modesto CA,41
Wheeling WV-Steubenville OH,41
Los Angeles CA,41
Huntsville-Decatur (Florence) AL,41
Elmira NY,41
Albany-Schenectady-Troy NY,41
St. Joseph MO,41
Columbus OH,41
Harrisburg-Lancaster-Lebanon-York PA,41
Providence RI-New Bedford MA,41
Wilkes Barre-Scranton PA,40
Buffalo NY,40
Knoxville TN,40
Milwaukee WI,40
Omaha NE,40
Panama City FL,40
Pittsburgh PA,40
Flint-Saginaw-Bay City MI,39
Joplin MO-Pittsburg KS,39
San Angelo TX,39
Greenville-Spartanburg SC-Asheville NC-Anderson SC,39
Kansas City MO,39
Salisbury MD,39
Cincinnati OH,39
Tulsa OK,39
Philadelphia PA,39
Champaign & Springfield-Decatur IL,39
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,38
Oklahoma City OK,38
Amarillo TX,38
Washington DC (Hagerstown MD),38
Baltimore MD,38
Reno NV,38
Ft. Wayne IN,38
Atlanta GA,37
Rochester NY,37
Presque Isle ME,37
Syracuse NY,37
Little Rock-Pine Bluff AR,37
Erie PA,37
New Orleans LA,37
Fresno-Visalia CA,37
Phoenix AZ,37
St. Louis MO,37
Peoria-Bloomington IL,37
Cleveland-Akron (Canton) OH,37
Youngstown OH,37
Birmingham AL,37
Helena MT,37
Louisville KY,37
Tampa-St. Petersburg (Sarasota) FL,36
Palm Springs CA,36
Indianapolis IN,36
Houston TX,36
South Bend-Elkhart IN,35
Macon GA,35
Dallas-Ft. Worth TX,35
Utica NY,35
Chattanooga TN,35
Columbia-Jefferson City MO,35
Wichita Falls TX & Lawton OK,35
Yuma AZ-El Centro CA,35
New York NY,35
Minot-Bismarck-Dickinson(Williston) ND,35
Orlando-Daytona Beach-Melbourne FL,35
Davenport IA-Rock Island-Moline IL,35
Richmond-Petersburg VA,34
Yakima-Pasco-Richland-Kennewick WA,34
Terre Haute IN,34
Lafayette IN,34
Roanoke-Lynchburg VA,34
Monroe LA-El Dorado AR,34
