name,county,state,DMA
BART,"Alameda, Contra Costa, San Francisco, San Mateo",California, 
Caltrain,"San Francisco, San Mateo, Santa Clara",California, 
Golden Gate Transit,"Marin, Sonoma",California, 
Metro-North Railroad,"New York, Bronx, Westchester, Putnam, Dutchess, Rockland, Orange,Fairlield, New Haven",New York and Connecticut, 
NJ Transit - Bus,New Jersey,New Jersey, 
NJ Transit - Rail,New Jersey,New Jersey, 
Pacific Surfliner,"San Diego, Orange, Los Angeles, San Luis Obispo, Ventura, Santa Barbara",California, 
TheBus,Honolulu,Hawaii,Honolulu HI
University of California Berkeley - Bear Transit,Alameda,California,San Francisco-Oakland-San Jose CA
AC Transit,Alameda,California,San Francisco-Oakland-San Jose CA
CDTA,Albany,New York,Albany-Schenectady-Troy NY
MARTA,Fulton,Georgia,Atlanta GA
MDOT MTA,Baltimore,Maryland,Baltimore MD
Brockton Area Transit,Suffolk,Massachusetts,Boston MA-Manchester NH
MBTA,Suffolk,Massachusetts,Boston MA-Manchester NH
NFTA,Erie,New York,Buffalo NY
CARTA,Charleston,South Carolina,Charleston SC
CTA,Cook,Illinois,Chicago IL
Metra,Cook,Illinois,Chicago IL
Pace Bus,Cook,Illinois,Chicago IL
SORTA - Metro,Hamilton,Ohio,Cincinnati OH
TANK,Hamilton,Ohio,Cincinnati OH
GCRTA,Cuyahoga,Ohio,Cleveland-Akron (Canton) OH
COTA,Franklin,Ohio,Columbus OH
DART,Dallas,Texas,Dallas-Ft. Worth TX
Greater Dayton RTA,Montgomery,Ohio,Dayton OH
RTD,Denver,Colorado,Denver CO
Via Mobility Services - Boulder,Denver,Colorado,Denver CO
DDOT,Wayne,Michigan,Detroit MI
SMART,Wayne,Michigan,Detroit MI
The Ride,Washtenaw,Michigan,Detroit MI
U-M Transit,Washtenaw,Michigan,Detroit MI
The Rapid,Kent,Michigan,Grand Rapids-Kalamazoo-Battle Creek MI
CTTransit Hartford,Hartford,Connecticut,Hartford & New Haven CT
CTTransit New Britain,Hartford,Connecticut,Hartford & New Haven CT
CTTransit New Haven,New Haven,Connecticut,Hartford & New Haven CT
Hartford Line,Hartford,Connecticut,Hartford & New Haven CT
Shore Line East,New Haven,Connecticut,Hartford & New Haven CT
Capital Metro,Austin,Texas,Houston TX
METRO,Harris,Texas,Houston TX
KCATA,Jackson,Missouri,Kansas City MO
Las Vegas Monorail,Clark,Nevada,Las Vegas NV
RTC Southern Nevada,Clark,Nevada,Las Vegas NV
ART,Los Angeles,California,Los Angeles CA
Beach Cities Transit,Los Angeles,California,Los Angeles CA
Big Blue Bus,Los Angeles,California,Los Angeles CA
Culver CityBus,Los Angeles,California,Los Angeles CA
Foothill Transit,Los Angeles,California,Los Angeles CA
Glendale Beeline,Los Angeles,California,Los Angeles CA
GTrans,Los Angeles,California,Los Angeles CA
LA DOT,Los Angeles,California,Los Angeles CA
LA Metro - Bus,Los Angeles,California,Los Angeles CA
LA Metro - Rail,Los Angeles,California,Los Angeles CA
