name,state,state_FIPS,country,county,B,L_corona,_id,b,convergent_point,county_FIPS,divergent_point,k,k_corona,l_corona,lat,lon,metro_area,modified_at,modified_at_corona,t0,t0_corona
AC Transit,California,6,US,Alameda,-0.823861223,5.029246044,5e88da2b7e859234c8cba942,-0.026843425,36.1727526,6001,17.39160138,0.390131745,0.151538148,-3.228778999,37.77,-122.27,SF Bay Area,20200408,20200404,26.78217699,41
ART,California,6,US,Los Angeles,-0.724356111,0.004698436,5e88da2b7e859234c8cba943,0.011719171,37.15228435,6037,19.02192032,0.404135476,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,28.08710234,4
BART,California,,US,"Alameda, Contra Costa, San Francisco, San Mateo",-0.843692369,,5e88da2b7e859234c8cba944,-0.016961729,37.24066786,,15.43823948,0.336069137,,,,,SF Bay Area,20200408,,26.33945367,
Beach Cities Transit,California,6,US,Los Angeles,-0.766206444,0.004698436,5e88da2b7e859234c8cba945,0.035439217,38.4547384,6037,17.65875417,0.352333567,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,28.05674629,4
Bee-Line,New York,36,US,Westchester,-0.644342337,111.1059422,5e88da2b7e859234c8cba946,-0.006002782,37.65745625,36119,19.19408834,0.396846519,0.165564797,-104.3423958,41.29,-73.76,NYC,20200408,20200404,28.42577229,41
Big Blue Bus,California,6,US,Los Angeles,-0.775263185,0.004698436,5e88da2b7e859234c8cba947,0.014029629,35.93325659,6037,18.7489772,0.426385252,0.206207706,-7.560681157,33.97,-118.24,Los Angeles,20200408,20200404,27.3411169,4
Brockton Area Transit,Massachusetts,25,US,Suffolk,-0.754438704,0.001790253,5e88da2b7e859234c8cba948,0.030264086,40.4765208,25025,21.13385631,0.378806306,0.230383587,-2.214491828,42.35,-71.06,Boston,20200408,20200404,30.80518855,10
Broward County Transit,Florida,12,US,Miami-Dade,-0.544113205,22.75100641,5e88da2b7e859234c8cba949,0.003488869,39.25578702,12086,20.51374185,0.39094577,0.240541639,-5.879839498,25.86,-80.29,Miami,20200408,20200404,29.88476444,50
Caltrain,California,,US,"San Francisco, San Mateo, Santa Clara",-0.746110395,,5e88da2b7e859234c8cba94a,-0.015084431,35.3345114,,16.1299713,0.381530787,,,,,SF Bay Area,20200408,,25.73224135,
Capital Metro,Texas,48,US,Austin,-0.724539918,0.761877332,5e88da2b7e859234c8cba94b,-0.008255327,36.62364939,48015,20.8559173,0.464691006,0.204295198,-0.029240938,29.94,-96.25,Austin,20200408,20200404,28.73978335,63
Capitol Corridor,California,6,US,Sacramento,-0.830859836,1.211954283,5e88da2b7e859234c8cba94c,0.004753605,36.59522835,6067,15.69328404,0.350547451,0.135540777,-1.198208523,38.58,-121.49,SF Bay Area,20200408,20200404,26.1442562,30
CARTA,South Carolina,45,US,Charleston,-0.638760759,1.159198039,5e88da2b7e859234c8cba94d,-0.021306596,40.74923635,45019,21.85562284,0.387809525,0.19690103,-1.140291551,32.78,-79.99,Charleston,20200408,20200404,31.30242959,44
CDTA,New York,36,US,Albany,-0.807156223,28.70272024,5e88da2b7e859234c8cba94e,0.013817094,34.38845885,36001,23.22134785,0.656134187,0.118164786,-5.256619756,42.45,-74.03,Albany,20200408,20200404,28.80490335,50
City of Seattle,Washington,53,US,King,-0.884510644,1.60612184,5e88da2b7e859234c8cba94f,0.036624179,41.55360114,53033,3.838241839,0.194274254,0.107438571,-37.3739132,47.3,-122.26,Seattle,20200408,20200404,22.69592149,0
