Agency Name,Metro Area,County,State,Country
AC Transit,SF Bay Area,Alameda,California, US
ART,Los Angeles,Los Angeles,California, US
BART,SF Bay Area,"Alameda, Contra Costa, San Francisco, San Mateo",California, US
Beach Cities Transit,Los Angeles,Los Angeles,California, US
Bee-Line,NYC,Westchester ,New York, US
Big Blue Bus,Los Angeles,Los Angeles,California, US
Brockton Area Transit,Boston,Suffolk,Massachusetts, US
Broward County Transit,Miami,Miami-Dade,Florida, US
Caltrain,SF Bay Area,"San Francisco, San Mateo and Santa Clara",California, US
Capital Metro,Austin,Austin,Texas, US
Capitol Corridor,SF Bay Area,Sacramento ,California, US
CARTA,Charleston,Charleston,South Carolina, US
CATA,Lansing,Ingham,Michigan, US
CDTA,Albany,Albany,New York, US
City of Seattle,Seattle,King,Washington, US
Community Transit,Seattle,King,Washington, US
COTA,Columbus,Franklin,Ohio, US
County Connection,SF Bay Area,Contra,California, US
CTA,Chicago,Cook,Illinois, US
C-TRAN,Vancouver,Clark,Washington, US
CTTransit Hartford,Hartford,Hartford,Connecticut, US
CTTransit New Britain,New Britain,Hartford,Connecticut, US
CTTransit New Haven,New Haven,New Haven,Connecticut, US
CTTransit Stamford,Stamford,Fairfield,Connecticut, US
Culver CityBus,Los Angeles,Los Angeles,California, US
DART,Dallas,Dallas,Texas, US
DC Circulator,Washington D.C.,D.C,D.C, US
DDOT,Detroit,Wayne,Michigan, US
Fairfax Connector,Washington D.C.,D.C,D.C, US
Foothill Transit,Los Angeles,Los Angeles,California, US
GCRTA,Cleveland,Cuyahoga,Ohio, US
Glendale Beeline,Los Angeles,Los Angeles,California, US
Golden Gate Transit,SF Bay Area,Marin and Sonoma,California, US
Greater Dayton RTA,Dayton,Montgomery,Ohio, US
Greater Portland Metro Bus,Portland,Multnomah,Oregan, US
GTrans,Los Angeles,Los Angeles,California, US
Hartford Line,Hartford,Hartford,Connecticut, US
HRT,Hampton,Hampton city,Virginia, US
KCATA,Kansas City,Jackson,Missouri, US
King County Metro,Seattle,King,Washington, US
LA DOT,Los Angeles,Los Angeles,California, US
LA Metro (Bus),Los Angeles,Los Angeles,California, US
LA Metro (Rail),Los Angeles,Los Angeles,California, US
Las Vegas Monorail,Las Vegas,Clark,Nevada, US
Long Beach Transit,Los Angeles,Los Angeles,California, US
Long Island Rail Road,NYC,Suffolk ,New York, US
Lynx,Orlando,Orange,Florida, US
Madison Metro,Madison,Dane,Wisconsin, US
MARTA,Atlanta,Fulton,Georgia, US
MBTA,Boston,Suffolk,Massachusetts, US
MCTS,Milwaukee County,Milwaukee,Wisconsin, US
Metra,Chicago,Cook,Illinois, US
METRO,Houston,Harris,Texas, US
Metro (SORTA),Cincinnati,Hamilton,Ohio, US
Metro St. Louis,St. Louis,St. Louis city,Missouri, US
Metro Transit,Minneapolis-Saint Paul,Ramsey ,Minesota, US
Metrolink,Los Angeles,Orange,California, US
Metro-North Railroad,NYC,"New York, Bronx, Westchester, Putnam, Dutchess, Rockland, Orange,Fairlield, New Haven",New York and Connecticut, US
Miami-Dade Transit,Miami,Miami-Dade,Florida, US
Monterey-Salinas Transit,Monterey,Monterey,California, US
Montgomery County Transit,Washington D.C.,D.C,D.C, US
MTA,Baltimore,Baltimore,Maryland, US
MTA & RTA,Nashville,Davidson ,Tennessee, US
MTA (Bronx Buses),NYC,Bronx,New York, US
MTA (Brooklyn Buses),NYC,Kings,New York, US
MTA (Manhattan Buses),NYC,New York,New York, US
MTA (NYC Bus Company),NYC,New York,New York, US
MTA (NYC Subway),NYC,New York,New York, US
MTA (Queens Buses),NYC,Queens,New York, US
MTA (Staten Island Buses),NYC,Richmond,New York, US
MTS,San Diego,San Diego,California, US
MUNI (SFMTA),SF Bay Area,San Francisco,California, US
NCTD,San Diego,San Diego,California, US
NFTA,Buffalo,Erie,New York, US
NICE Bus,NYC,Nassau,New York, US
NJ Transit (Bus),New Jersey,New Jersey,New Jersey, US
NJ Transit (Rail),New Jersey,New Jersey,New Jersey, US
NY Waterway,NYC,New York,New York, US
OCTA,Los Angeles,Orange,California, US
Omnitrans,Los Angeles,San Bernardino,California, US
PAAC,Pittsburgh,Allegheny,Pennsylvania, US
Pace Bus,Chicago,Cook,Illinois, US
Pacific Surfliner,California,"San Diego, Orange, Los Angeles, San Luis Obispo, Ventura, Santa Barbara",California,US
Palm Tran,Miami,Miami-Dade,Florida, US
Pasadena Transit,Los Angeles,Los Angeles,California, US
PATCO,Philadelphia,Philadelphia,Pennsylvania, US
PATH,NYC,"Newark/Hudson County, New Jersey and Manhattan, New York",New York, US
Pierce Transit,Seattle,King,Washington, US
PresidiGo,SF Bay Area,San Francisco,California, US
PSTA,Tampa,Hillsborough,Florida, US
RIPTA,Providence,Providence,Rhode Island, US
Riverside Transit Agency,Los Angeles,western Riverside,California, US
