eth_black,False,False,True,True
eth_white,False,True,False,True
income,,,,
"Under $10,000",0.09778210699835156,0.049752734901843246,0.12145961336730106,0.005245017233628053
"$10,000 to $19,999",0.06406413906788551,0.03596583245916379,0.06346470852689945,0.0035965832459163793
"$20,000 to $29,999",0.06001798291622958,0.03356811029521954,0.0635396373445227,0.0018732204405814477
"$30,000 to $39,999",0.0436085718567361,0.026524801438633297,0.04840401618462461,0.002397722163944253
"$40,000 to $49,999",0.030645886407912482,0.018732204405814475,0.032668964483740445,0.0011988610819721264
"$50,000 to $74,999",0.03656526300014986,0.023452719916079723,0.03499175783006144,0.0016484339877116739
"$75,000 to $99,999",0.014760977071781808,0.01506069234227484,0.013786902442679454,0.00037464408811628953
"$100,000 to $149,999",0.00929117338528398,0.014910834707028323,0.007043308856586243,0.0005994305409860632
"$150,000 or more",0.005919376592237374,0.012213397272591039,0.004420800239772217,0.0004495729057395474
